name,journal_id,account_asset_id,account_depreciation_id,account_depreciation_expense_id,method_number,method_period,group_entries,account_analytic_id
BUL-BUL  -  อาคาร ADM,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
BUL-BUL  -  อาคาร PLA,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
PLA-CA  -  ยานพาหนะ,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,PLA
MK--CA  -  ยานพาหนะ,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,MK
ADM-CA  -  ยานพาหนะ,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,ADM
-CA  -  ยานพาหนะ,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
รหั-CA  -  ยานพาหนะ,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
PLA-DC  -  เครื่องตกแต่งสำนักงานโรงงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,PLA
ADM-DC  -  เครื่องตกแต่งสำนักงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,ADM
MK--DC  -  เครื่องตกแต่งสำนักงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,MK
ADM-EQ - อุปกรณ์สำนักงานโรงงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,ADM
PLA-EQ - อุปกรณ์สำนักงานโรงงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,PLA
-EQ - อุปกรณ์สำนักงานโรงงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
ADM-ELE  -  ระบบไฟฟ้า,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,ADM
ELE-ELE  -  ระบบไฟฟ้า,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
ADM-EQ  -  อุปกรณ์สำนักงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,ADM
MK--EQ  -  อุปกรณ์สำนักงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,MK
-EQ  -  อุปกรณ์สำนักงาน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
MAC-MAC  -  เครื่องจักร,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
PLA-PL  -  เครื่องมือเครื่องใช้,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,PLA
-PL  -  เครื่องมือเครื่องใช้,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
REA-REAL-PROP  -  ปรับปรุงที่ดิน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
-REAL-PROP  -  ปรับปรุงที่ดิน,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
WA--WA  -  ระบบประปา,สมุดรายวันทั่วไป-ทรัพย์สิน,1420-02,1420-02,5590-01,20,1,1,False
